id,name,category,serving_size,calories,protein,carbs,fat,fiber,sugar,sodium,type,goals,allergens,description
809,Processed Cheese Cube (Low Fat),Dairy Products,100 g,79,10.7,3.5,18.2,0.2,3.5,63,Vegetarian,General Fitness,Milk,Processed Cheese Cube (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
810,Milk Powder (Low Fat),Dairy Products,100 g,126,14.7,6.4,8.9,0.1,5.2,118,Vegetarian,Muscle Building,Milk,Milk Powder (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
811,Soy Milk (Low Fat),Dairy Products,100 g,360,25.1,9.6,16.8,0.1,8.3,95,Vegetarian,Weight Gain; Muscle Building,Milk; Soy,Soy Milk (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
812,Almond Milk (Low Fat),Dairy Products,100 g,154,13.9,12.1,24.1,0.4,11.0,59,Vegetarian,Muscle Building,Milk; Tree Nuts,Almond Milk (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
813,Coconut Milk (Low Fat),Dairy Products,100 g,237,4.1,4.3,21.5,0.0,4.3,54,Vegetarian,General Fitness,Milk; Tree Nuts,Coconut Milk (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
814,Whipped Cream (Low Fat),Dairy Products,100 g,314,11.0,4.0,6.6,0.2,2.9,119,Vegetarian,General Fitness,Milk,Whipped Cream (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
815,Ricotta Cheese (Low Fat),Dairy Products,100 g,300,10.8,3.6,8.9,0.2,3.6,55,Vegetarian,General Fitness,Milk,Ricotta Cheese (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
816,Cream Cheese (Low Fat),Dairy Products,100 g,132,11.3,2.2,25.8,0.0,2.2,132,Vegetarian,General Fitness,Milk,Cream Cheese (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
817,Probiotic Yogurt Drink (Low Fat),Dairy Products,100 g,189,25.2,2.3,3.9,0.1,2.3,35,Vegetarian,Muscle Building,Milk,Probiotic Yogurt Drink (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
818,Shrikhand (Low Fat),Dairy Products,100 g,164,11.2,4.3,0.6,0.3,4.3,81,Vegetarian,Weight Loss,Milk,Shrikhand (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
819,Paneer Tikka (Snack) (Low Fat),Dairy Products,100 g,336,14.8,4.9,2.6,0.1,4.9,43,Vegetarian,Muscle Building,Milk,Paneer Tikka (Snack) (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
820,Buffalo Milk (Low Fat),Dairy Products,100 g,224,4.7,11.6,24.9,0.4,10.2,120,Vegetarian,General Fitness,Milk,Buffalo Milk (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
821,Cow Milk (Low Fat),Dairy Products,100 g,246,8.6,4.1,3.3,0.3,3.1,40,Vegetarian,General Fitness,Milk,Cow Milk (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
822,A2 Milk (Low Fat),Dairy Products,100 g,317,21.1,3.0,23.7,0.3,3.0,145,Vegetarian,Muscle Building,Milk,A2 Milk (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
823,Flavoured Milk (Chocolate) (Low Fat),Dairy Products,100 g,309,6.1,2.1,15.0,0.4,2.1,43,Vegetarian,General Fitness,Milk,Flavoured Milk (Chocolate) (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
824,Flavoured Milk (Badam) (Low Fat),Dairy Products,100 g,51,19.7,11.8,10.9,0.3,6.7,46,Vegetarian,Muscle Building,Milk,Flavoured Milk (Badam) (Low Fat) – A dairy product commonly used in Indian households as a source of calcium and protein.
825,Full Cream Milk (Skimmed),Dairy Products,100 g,75,13.5,8.5,10.4,0.2,8.5,69,Vegetarian,Muscle Building,Milk,Full Cream Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
826,Toned Milk (Skimmed),Dairy Products,100 g,310,3.4,10.5,21.1,0.1,5.5,67,Vegetarian,General Fitness,Milk,Toned Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
827,Skimmed Milk (Skimmed),Dairy Products,100 g,110,8.3,7.4,22.0,0.4,7.4,38,Vegetarian,General Fitness,Milk,Skimmed Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
828,Curd (Dahi) (Skimmed),Dairy Products,100 g,337,13.8,9.8,15.0,0.0,5.9,144,Vegetarian,Muscle Building,Milk,Curd (Dahi) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
829,Greek Yogurt (Skimmed),Dairy Products,100 g,245,11.7,9.0,7.6,0.4,9.0,99,Vegetarian,General Fitness,Milk,Greek Yogurt (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
830,Paneer (Skimmed),Dairy Products,100 g,200,14.3,11.4,8.0,0.5,4.3,74,Vegetarian,Muscle Building,Milk,Paneer (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
831,Cottage Cheese (Low Fat) (Skimmed),Dairy Products,100 g,114,25.4,3.4,23.7,0.0,3.4,88,Vegetarian,Muscle Building,Milk,Cottage Cheese (Low Fat) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
832,Cheese Slice (Skimmed),Dairy Products,100 g,346,15.2,5.2,25.5,0.1,5.2,100,Vegetarian,Muscle Building,Milk,Cheese Slice (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
833,Cheddar Cheese (Skimmed),Dairy Products,100 g,270,21.7,10.9,9.5,0.0,10.9,91,Vegetarian,Muscle Building,Milk,Cheddar Cheese (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
834,Mozzarella Cheese (Skimmed),Dairy Products,100 g,173,16.9,12.6,14.4,0.2,7.5,139,Vegetarian,Muscle Building,Milk,Mozzarella Cheese (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
835,Ghee (Skimmed),Dairy Products,100 g,171,15.2,3.2,26.6,0.2,3.2,43,Vegetarian,Muscle Building,Milk,Ghee (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
836,Butter (Skimmed),Dairy Products,100 g,265,14.2,10.7,5.1,0.3,9.8,125,Vegetarian,Muscle Building,Milk,Butter (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
837,Buttermilk (Chaas) (Skimmed),Dairy Products,100 g,111,23.9,6.3,1.0,0.1,3.9,60,Vegetarian,Weight Loss; Muscle Building,Milk,Buttermilk (Chaas) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
838,Lassi (Sweet) (Skimmed),Dairy Products,100 g,327,5.3,2.5,5.1,0.4,2.5,62,Vegetarian,General Fitness,Milk,Lassi (Sweet) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
839,Lassi (Salted) (Skimmed),Dairy Products,100 g,302,19.5,3.3,12.2,0.1,3.3,149,Vegetarian,Muscle Building,Milk,Lassi (Salted) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
840,Flavored Yogurt (Skimmed),Dairy Products,100 g,131,23.9,4.3,17.3,0.4,4.3,62,Vegetarian,Muscle Building,Milk,Flavored Yogurt (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
841,Condensed Milk (Skimmed),Dairy Products,100 g,313,6.6,3.6,15.8,0.5,3.6,152,Vegetarian,General Fitness,Milk,Condensed Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
842,Khoya (Mawa) (Skimmed),Dairy Products,100 g,193,9.3,9.0,14.3,0.1,9.0,87,Vegetarian,General Fitness,Milk,Khoya (Mawa) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
843,Cream (Malai) (Skimmed),Dairy Products,100 g,317,22.8,9.2,7.8,0.4,3.6,157,Vegetarian,Muscle Building,Milk,Cream (Malai) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
844,Hung Curd (Skimmed),Dairy Products,100 g,353,2.3,11.4,10.9,0.3,4.3,44,Vegetarian,Weight Gain,Milk,Hung Curd (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
845,Cheese Spread (Skimmed),Dairy Products,100 g,70,25.9,5.3,16.8,0.3,5.3,56,Vegetarian,Muscle Building,Milk,Cheese Spread (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
846,Processed Cheese Cube (Skimmed),Dairy Products,100 g,84,10.1,3.7,5.5,0.3,3.7,105,Vegetarian,Weight Loss,Milk,Processed Cheese Cube (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
847,Milk Powder (Skimmed),Dairy Products,100 g,250,25.2,12.3,8.8,0.1,11.3,127,Vegetarian,Muscle Building,Milk,Milk Powder (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
848,Soy Milk (Skimmed),Dairy Products,100 g,180,23.5,8.6,23.9,0.4,2.2,151,Vegetarian,Muscle Building,Milk; Soy,Soy Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
849,Almond Milk (Skimmed),Dairy Products,100 g,206,22.3,11.0,14.3,0.4,10.4,121,Vegetarian,Muscle Building,Milk; Tree Nuts,Almond Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
850,Coconut Milk (Skimmed),Dairy Products,100 g,357,24.7,11.6,13.0,0.1,6.2,36,Vegetarian,Weight Gain; Muscle Building,Milk; Tree Nuts,Coconut Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
851,Whipped Cream (Skimmed),Dairy Products,100 g,294,4.9,11.2,9.1,0.3,10.0,117,Vegetarian,General Fitness,Milk,Whipped Cream (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
852,Ricotta Cheese (Skimmed),Dairy Products,100 g,134,18.2,2.9,16.1,0.2,2.9,101,Vegetarian,Muscle Building,Milk,Ricotta Cheese (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
853,Cream Cheese (Skimmed),Dairy Products,100 g,54,8.0,7.5,17.6,0.1,6.3,47,Vegetarian,General Fitness,Milk,Cream Cheese (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
854,Probiotic Yogurt Drink (Skimmed),Dairy Products,100 g,303,8.0,8.0,15.2,0.4,5.4,144,Vegetarian,General Fitness,Milk,Probiotic Yogurt Drink (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
855,Shrikhand (Skimmed),Dairy Products,100 g,131,18.5,5.7,26.3,0.4,3.1,58,Vegetarian,Muscle Building,Milk,Shrikhand (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
856,Paneer Tikka (Snack) (Skimmed),Dairy Products,100 g,266,17.6,6.1,0.5,0.4,6.1,50,Vegetarian,Muscle Building,Milk,Paneer Tikka (Snack) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
857,Buffalo Milk (Skimmed),Dairy Products,100 g,124,3.6,6.4,6.4,0.4,6.4,46,Vegetarian,Weight Loss,Milk,Buffalo Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
858,Cow Milk (Skimmed),Dairy Products,100 g,138,9.1,12.3,24.4,0.4,9.7,146,Vegetarian,General Fitness,Milk,Cow Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
859,A2 Milk (Skimmed),Dairy Products,100 g,276,2.4,7.5,13.9,0.4,7.5,77,Vegetarian,General Fitness,Milk,A2 Milk (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
860,Flavoured Milk (Chocolate) (Skimmed),Dairy Products,100 g,139,20.6,7.3,6.4,0.1,7.3,32,Vegetarian,Weight Loss; Muscle Building,Milk,Flavoured Milk (Chocolate) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
861,Flavoured Milk (Badam) (Skimmed),Dairy Products,100 g,285,20.6,12.7,21.5,0.2,9.8,139,Vegetarian,Muscle Building,Milk,Flavoured Milk (Badam) (Skimmed) – A dairy product commonly used in Indian households as a source of calcium and protein.
862,Full Cream Milk (Homemade),Dairy Products,100 g,154,3.0,2.0,13.4,0.3,2.0,156,Vegetarian,General Fitness,Milk,Full Cream Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
863,Toned Milk (Homemade),Dairy Products,100 g,273,11.2,12.6,6.5,0.3,8.8,151,Vegetarian,General Fitness,Milk,Toned Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
864,Skimmed Milk (Homemade),Dairy Products,100 g,209,14.7,12.5,17.8,0.1,7.5,123,Vegetarian,Muscle Building,Milk,Skimmed Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
865,Curd (Dahi) (Homemade),Dairy Products,100 g,239,16.3,12.7,7.8,0.4,5.9,80,Vegetarian,Muscle Building,Milk,Curd (Dahi) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
866,Greek Yogurt (Homemade),Dairy Products,100 g,294,25.6,4.8,12.6,0.1,2.7,59,Vegetarian,Muscle Building,Milk,Greek Yogurt (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
867,Paneer (Homemade),Dairy Products,100 g,217,17.8,11.9,15.8,0.2,2.7,88,Vegetarian,Muscle Building,Milk,Paneer (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
868,Cottage Cheese (Low Fat) (Homemade),Dairy Products,100 g,277,18.8,12.7,10.7,0.1,4.2,95,Vegetarian,Muscle Building,Milk,Cottage Cheese (Low Fat) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
869,Cheese Slice (Homemade),Dairy Products,100 g,267,20.4,9.2,10.3,0.0,4.4,151,Vegetarian,Muscle Building,Milk,Cheese Slice (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
870,Cheddar Cheese (Homemade),Dairy Products,100 g,112,7.2,5.1,18.2,0.1,5.1,76,Vegetarian,General Fitness,Milk,Cheddar Cheese (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
871,Mozzarella Cheese (Homemade),Dairy Products,100 g,286,23.4,10.6,26.2,0.4,3.6,131,Vegetarian,Muscle Building,Milk,Mozzarella Cheese (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
872,Ghee (Homemade),Dairy Products,100 g,357,15.3,7.2,5.3,0.0,7.2,52,Vegetarian,Weight Gain; Muscle Building,Milk,Ghee (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
873,Butter (Homemade),Dairy Products,100 g,122,14.1,4.4,12.0,0.3,4.4,144,Vegetarian,Muscle Building,Milk,Butter (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
874,Buttermilk (Chaas) (Homemade),Dairy Products,100 g,223,5.7,5.7,15.7,0.3,3.4,121,Vegetarian,General Fitness,Milk,Buttermilk (Chaas) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
875,Lassi (Sweet) (Homemade),Dairy Products,100 g,237,3.9,11.0,9.0,0.3,8.0,72,Vegetarian,General Fitness,Milk,Lassi (Sweet) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
876,Lassi (Salted) (Homemade),Dairy Products,100 g,183,16.7,4.0,3.2,0.2,4.0,113,Vegetarian,Muscle Building,Milk,Lassi (Salted) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
877,Flavored Yogurt (Homemade),Dairy Products,100 g,351,16.4,5.7,23.8,0.1,5.7,78,Vegetarian,Weight Gain; Muscle Building,Milk,Flavored Yogurt (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
878,Condensed Milk (Homemade),Dairy Products,100 g,233,14.7,10.1,5.6,0.3,4.0,153,Vegetarian,Muscle Building,Milk,Condensed Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
879,Khoya (Mawa) (Homemade),Dairy Products,100 g,90,9.2,7.7,17.1,0.1,2.5,143,Vegetarian,General Fitness,Milk,Khoya (Mawa) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
880,Cream (Malai) (Homemade),Dairy Products,100 g,189,16.6,9.8,23.7,0.3,8.6,116,Vegetarian,Muscle Building,Milk,Cream (Malai) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
881,Hung Curd (Homemade),Dairy Products,100 g,287,22.2,10.7,3.8,0.1,10.1,56,Vegetarian,Muscle Building,Milk,Hung Curd (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
882,Cheese Spread (Homemade),Dairy Products,100 g,315,22.2,7.6,17.9,0.5,6.6,137,Vegetarian,Muscle Building,Milk,Cheese Spread (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
883,Processed Cheese Cube (Homemade),Dairy Products,100 g,209,20.8,6.8,28.1,0.3,6.8,62,Vegetarian,Muscle Building,Milk,Processed Cheese Cube (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
884,Milk Powder (Homemade),Dairy Products,100 g,327,22.9,5.4,11.9,0.1,5.4,85,Vegetarian,Muscle Building,Milk,Milk Powder (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
885,Soy Milk (Homemade),Dairy Products,100 g,57,11.3,10.2,17.3,0.3,10.2,86,Vegetarian,General Fitness,Milk; Soy,Soy Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
886,Almond Milk (Homemade),Dairy Products,100 g,321,13.6,9.8,8.8,0.3,9.8,52,Vegetarian,Muscle Building,Milk; Tree Nuts,Almond Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
887,Coconut Milk (Homemade),Dairy Products,100 g,215,2.6,12.0,24.3,0.1,7.0,33,Vegetarian,General Fitness,Milk; Tree Nuts,Coconut Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
888,Whipped Cream (Homemade),Dairy Products,100 g,229,8.9,6.2,7.6,0.5,6.2,78,Vegetarian,General Fitness,Milk,Whipped Cream (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
889,Ricotta Cheese (Homemade),Dairy Products,100 g,348,23.2,10.0,10.3,0.1,2.2,90,Vegetarian,Muscle Building,Milk,Ricotta Cheese (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
890,Cream Cheese (Homemade),Dairy Products,100 g,259,17.7,8.3,8.2,0.2,8.3,158,Vegetarian,Muscle Building,Milk,Cream Cheese (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
891,Probiotic Yogurt Drink (Homemade),Dairy Products,100 g,129,20.9,9.0,10.6,0.2,6.4,46,Vegetarian,Muscle Building,Milk,Probiotic Yogurt Drink (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
892,Shrikhand (Homemade),Dairy Products,100 g,96,22.9,3.5,9.0,0.0,3.2,61,Vegetarian,Muscle Building,Milk,Shrikhand (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
893,Paneer Tikka (Snack) (Homemade),Dairy Products,100 g,281,6.3,2.8,3.9,0.2,2.8,33,Vegetarian,General Fitness,Milk,Paneer Tikka (Snack) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
894,Buffalo Milk (Homemade),Dairy Products,100 g,302,20.2,10.9,26.8,0.4,10.8,159,Vegetarian,Muscle Building,Milk,Buffalo Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
895,Cow Milk (Homemade),Dairy Products,100 g,131,12.8,7.5,5.3,0.4,7.5,108,Vegetarian,Weight Loss; Muscle Building,Milk,Cow Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
896,A2 Milk (Homemade),Dairy Products,100 g,312,15.5,5.9,15.2,0.5,5.9,110,Vegetarian,Muscle Building,Milk,A2 Milk (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
897,Flavoured Milk (Chocolate) (Homemade),Dairy Products,100 g,72,25.4,8.8,6.5,0.0,2.5,54,Vegetarian,Weight Loss; Muscle Building,Milk,Flavoured Milk (Chocolate) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
898,Flavoured Milk (Badam) (Homemade),Dairy Products,100 g,98,22.5,8.8,11.5,0.2,8.8,32,Vegetarian,Muscle Building,Milk,Flavoured Milk (Badam) (Homemade) – A dairy product commonly used in Indian households as a source of calcium and protein.
899,Full Cream Milk (Branded (Standard Pack)),Dairy Products,100 g,295,5.0,11.3,4.0,0.5,9.9,139,Vegetarian,General Fitness,Milk,Full Cream Milk (Branded (Standard Pack)) – A dairy product commonly used in Indian households as a source of calcium and protein.
900,Toned Milk (Branded (Standard Pack)),Dairy Products,100 g,101,9.1,11.7,1.4,0.4,2.9,77,Vegetarian,Weight Loss,Milk,Toned Milk (Branded (Standard Pack)) – A dairy product commonly used in Indian households as a source of calcium and protein.
901,Boiled Egg (Whole),Eggs,1 bowl (150 g),225,11.3,6.0,6.1,0.2,0.7,219,Non-Vegetarian,General Fitness,Egg,"Boiled Egg (Whole) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
902,Boiled Egg White Only,Eggs,1 bowl (150 g),220,10.8,6.1,7.5,1.0,1.1,220,Non-Vegetarian,General Fitness,Egg,"Boiled Egg White Only – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
903,Fried Egg (Sunny Side Up),Eggs,1 bowl (150 g),101,14.8,4.0,7.8,0.3,1.3,295,Non-Vegetarian,Weight Loss; Muscle Building,Egg,"Fried Egg (Sunny Side Up) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
904,Scrambled Egg,Eggs,1 bowl (150 g),86,10.3,8.2,6.0,0.7,0.0,128,Non-Vegetarian,Weight Loss,Egg,"Scrambled Egg – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
905,Egg Omelette (Plain),Eggs,1 bowl (150 g),82,6.2,3.5,9.1,1.0,2.0,106,Non-Vegetarian,General Fitness,Egg,"Egg Omelette (Plain) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
906,Egg Omelette (Masala),Eggs,1 bowl (150 g),186,12.4,2.5,12.3,0.6,1.3,295,Non-Vegetarian,Muscle Building,Egg,"Egg Omelette (Masala) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
907,Egg Bhurji,Eggs,1 bowl (150 g),138,7.9,4.8,7.7,0.6,1.0,158,Non-Vegetarian,Weight Loss,Egg,"Egg Bhurji – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
908,Poached Egg,Eggs,1 bowl (150 g),108,14.7,3.3,10.7,0.1,1.2,348,Non-Vegetarian,Muscle Building,Egg,"Poached Egg – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
909,Egg Curry,Eggs,1 bowl (150 g),129,10.2,2.1,12.3,0.7,1.2,329,Non-Vegetarian,General Fitness,Egg,"Egg Curry – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
910,Egg Fried Rice,Eggs,1 bowl (150 g),228,7.5,5.9,5.7,1.1,0.3,288,Non-Vegetarian,General Fitness,Egg,"Egg Fried Rice – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
911,Egg Sandwich,Eggs,1 bowl (150 g),160,14.2,1.3,6.3,0.1,1.2,171,Non-Vegetarian,Weight Loss; Muscle Building,Egg,"Egg Sandwich – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
912,Egg Salad,Eggs,1 bowl (150 g),183,9.2,7.1,10.7,0.7,0.6,138,Non-Vegetarian,General Fitness,Egg,"Egg Salad – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
913,Devilled Eggs,Eggs,1 bowl (150 g),228,10.6,5.7,13.6,0.9,0.7,182,Non-Vegetarian,General Fitness,Egg,"Devilled Eggs – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
914,Egg Bhurji Pav,Eggs,1 bowl (150 g),98,12.1,3.2,5.6,0.9,0.2,142,Non-Vegetarian,Weight Loss; Muscle Building,Egg,"Egg Bhurji Pav – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
915,Anda Curry (Dhaba Style),Eggs,1 bowl (150 g),89,6.8,7.2,14.3,0.8,0.7,319,Vegetarian,General Fitness,None,"Anda Curry (Dhaba Style) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
916,Egg White Omelette,Eggs,1 bowl (150 g),214,11.2,4.9,16.1,1.0,1.6,156,Non-Vegetarian,General Fitness,Egg,"Egg White Omelette – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
917,Cheese Omelette,Eggs,1 bowl (150 g),223,9.0,3.9,10.9,1.2,0.8,334,Vegetarian,General Fitness,Milk; Egg,"Cheese Omelette – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
918,Vegetable Omelette,Eggs,1 bowl (150 g),92,13.1,7.0,16.4,1.0,0.6,190,Vegetarian,Muscle Building,Egg,"Vegetable Omelette – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
919,Egg Roll,Eggs,1 bowl (150 g),169,8.4,8.7,16.0,0.7,1.2,288,Non-Vegetarian,General Fitness,Egg,"Egg Roll – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
920,Half Boiled Egg,Eggs,1 bowl (150 g),127,12.0,5.5,11.0,0.7,0.2,116,Non-Vegetarian,Muscle Building,Egg,"Half Boiled Egg – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
921,Egg Toast,Eggs,1 bowl (150 g),206,11.6,1.2,11.7,0.3,1.0,257,Non-Vegetarian,General Fitness,Egg,"Egg Toast – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
922,Spanish Omelette (Indian Style),Eggs,1 bowl (150 g),107,8.9,0.0,16.4,1.2,0.0,170,Vegetarian,General Fitness,Egg,"Spanish Omelette (Indian Style) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
923,Egg Pakora,Eggs,1 bowl (150 g),202,12.0,7.6,6.7,0.2,0.4,231,Non-Vegetarian,Muscle Building,Egg,"Egg Pakora – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
924,Masala Egg Bhurji,Eggs,1 bowl (150 g),229,7.9,7.3,6.4,1.0,1.2,196,Non-Vegetarian,General Fitness,Egg,"Masala Egg Bhurji – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
925,Egg Kathi Roll,Eggs,1 bowl (150 g),229,9.1,6.5,7.6,0.9,0.5,108,Non-Vegetarian,General Fitness,Egg,"Egg Kathi Roll – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
926,Boiled Egg (Whole) (Restaurant Style),Eggs,1 bowl (150 g),201,11.7,8.0,5.7,0.4,1.7,166,Non-Vegetarian,General Fitness,Egg,"Boiled Egg (Whole) (Restaurant Style) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
927,Boiled Egg White Only (Restaurant Style),Eggs,1 bowl (150 g),163,10.0,6.5,5.9,0.6,1.3,276,Non-Vegetarian,Weight Loss,Egg,"Boiled Egg White Only (Restaurant Style) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
928,Fried Egg (Sunny Side Up) (Restaurant Style),Eggs,1 bowl (150 g),187,10.6,6.1,16.1,0.5,1.0,338,Non-Vegetarian,General Fitness,Egg,"Fried Egg (Sunny Side Up) (Restaurant Style) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
929,Scrambled Egg (Restaurant Style),Eggs,1 bowl (150 g),144,11.1,9.0,14.0,0.8,1.6,353,Non-Vegetarian,General Fitness,Egg,"Scrambled Egg (Restaurant Style) – An egg-based preparation, a versatile source of high-quality protein suitable for most meal plans."
